goos: windows
goarch: amd64
cpu: AMD FX(tm)-8350 Eight-Core Processor
                                                                                     │ .\longbench_baseline_json.txt │
                                                                                     │            sec/op             │
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules1Evals1Files-8                        358.9µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules1Evals10Files-8                       365.8µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules1Evals100Files-8                      483.6µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules1Evals1000Files-8                     2.099m ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules3Evals1Files-8                        365.7µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules3Evals10Files-8                       368.8µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules3Evals100Files-8                      428.2µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules3Evals1000Files-8                     1.272m ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules5Evals1Files-8                        380.4µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules5Evals10Files-8                       380.9µ ±  2%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules5Evals100Files-8                      420.2µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules5Evals1000Files-8                     1.048m ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules10Evals1Files-8                       401.4µ ±  7%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules10Evals10Files-8                      412.5µ ±  3%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules10Evals100Files-8                     448.2µ ±  1%
BaselineParallelRunner/BenchmarkBaselineParallel30Attrs100000Rules10Evals1000Files-8                    919.3µ ±  1%
geomean                                                                                                 138.1µ
